################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0352032640009956E+00 a         1     0     1     1     1
 -1.0164044785281752E+00 a         2     0     1     1     2
 -4.8008948482842173E-01 a         3     0     1     1     3
  5.5672238357218629E-01 a         4     0     1     1     4
 -7.2037564519151254E-01 a         5     0     1     1     5
 -1.3665643666783451E+00 a         6     0     1     1     6
 -2.3022466630922422E+00 a         7     0     1     1     7
  7.8443412062986895E-01 a         8     0     1     1     8
 -1.2720816659887957E+00 a         9     0     1     1     9
 -5.0781514846006581E-01 a        10     0     1     1    10
 -1.3286133371284725E+00 a        11     0     1     1    11
 -2.9551246855854543E+00 a        12     0     1     1    12
  1.7122594055476730E+00 a        13     0     1     1    13
  9.4136935751462952E-02 a        14     0     1     1    14
  3.0617189929800726E-01 a        15     0     1     1    15
  4.7518387846579141E-01 a        16     0     2     1     1
  3.5940834165927420E+00 a        17     0     2     1     2
 -1.4844016595462390E+00 a        18     0     2     1     3
  3.2147914580045456E-03 a        19     0     2     1     4
  2.1271672968893807E+00 a        20     0     2     1     5
 -2.7108350098992302E+00 a        21     0     2     1     6
  2.9302180441432707E-01 a        22     0     2     1     7
  1.1160241779172935E+00 a        23     0     2     1     8
 -2.1284736509364963E+00 a        24     0     2     1     9
 -2.7500586179752031E+00 a        25     0     2     1    10
  3.8895439630339843E+00 a        26     0     2     1    11
  9.0607421685663525E-01 a        27     0     2     1    12
  3.6998621088883983E+00 a        28     0     2     1    13
  6.6823002957828981E-01 a        29     0     2     1    14
 -9.2267571394584980E-01 a        30     0     2     1    15
 -7.2028676787769275E-01 a        31     0     3     1     1
  1.2093198840026211E+00 a        32     0     3     1     2
  4.9410930912474238E-01 a        33     0     3     1     3
 -1.1969074283297376E-01 a        34     0     3     1     4
 -5.4157981475710867E-02 a        35     0     3     1     5
 -2.8546429704309073E-01 a        36     0     3     1     6
 -5.0176682644103732E-01 a        37     0     3     1     7
 -1.8335631170894709E-01 a        38     0     3     1     8
  1.0822241015717120E+00 a        39     0     3     1     9
  3.2065221842862540E-01 a        40     0     3     1    10
 -5.6291132693854706E-01 a        41     0     3     1    11
 -1.4325329102147832E-01 a        42     0     3     1    12
 -1.2231059805668962E+00 a        43     0     3     1    13
  6.1787148943790937E-01 a        44     0     3     1    14
 -2.5979790438584921E-01 a        45     0     3     1    15
  5.1755993347614071E+00 a        46     0     4     1     1
  2.1283741415019022E+00 a        47     0     4     1     2
  1.0445635563150897E+00 a        48     0     4     1     3
  2.0919034353080290E+00 a        49     0     4     1     4
 -6.2573028587288269E+00 a        50     0     4     1     5
  2.3110329074104130E+00 a        51     0     4     1     6
  2.3866173602440846E+00 a        52     0     4     1     7
 -2.4900051588887857E+00 a        53     0     4     1     8
  2.3549932484422738E+00 a        54     0     4     1     9
  7.2450548830192307E+00 a        55     0     4     1    10
 -2.9259642883591193E+00 a        56     0     4     1    11
  1.3328996767048109E+00 a        57     0     4     1    12
 -2.1117369412040010E+00 a        58     0     4     1    13
 -5.4620673997863260E+00 a        59     0     4     1    14
 -3.2667011192540585E+00 a        60     0     4     1    15
 -2.1858962715293806E-01 a        61     0     5     1     1
  4.3255002426684230E-01 a        62     0     5     1     2
 -1.1826305602295306E+00 a        63     0     5     1     3
 -2.2677794308337447E+00 a        64     0     5     1     4
  5.2666678575114023E-01 a        65     0     5     1     5
 -1.1490399097670534E+00 a        66     0     5     1     6
 -1.1929041745315814E+00 a        67     0     5     1     7
  7.5104213883548621E-01 a        68     0     5     1     8
  1.8071023382625697E+00 a        69     0     5     1     9
  7.6582961621416767E-01 a        70     0     5     1    10
  9.3135231040117172E-01 a        71     0     5     1    11
  1.2812854794039110E+00 a        72     0     5     1    12
 -1.7900597455414045E+00 a        73     0     5     1    13
  1.6115077810849032E+00 a        74     0     5     1    14
  2.7895453123760694E-01 a        75     0     5     1    15
 -1.3854572190201161E-02 a        76     0     6     1     1
  3.8278326613424396E-01 a        77     0     6     1     2
 -2.2307332721440529E+00 a        78     0     6     1     3
 -1.2796825306144433E+00 a        79     0     6     1     4
  2.5675335673898730E-01 a        80     0     6     1     5
 -2.4086776995614532E+00 a        81     0     6     1     6
 -1.9876686988335851E-01 a        82     0     6     1     7
  1.6204489521756889E+00 a        83     0     6     1     8
  1.2962988585288342E+00 a        84     0     6     1     9
