################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.0330788242830891E+00 a         1     0     1     1     1
 -1.9554351397201304E+00 a         2     0     1     1     2
 -3.2169192983202475E+00 a         3     0     1     1     3
  1.4799350980344301E+00 a         4     0     1     1     4
  6.4442269297193613E-02 a         5     0     1     1     5
  2.7843748232096570E+00 a         6     0     1     1     6
 -8.0836586119037812E-01 a         7     0     1     1     7
 -2.8887423955566977E-01 a         8     0     1     1     8
 -1.8280789722112567E+00 a         9     0     1     1     9
  2.1687282325346970E+00 a        10     0     1     1    10
  3.7127937265018121E+00 a        11     0     1     1    11
  1.5520675842994665E+00 a        12     0     1     1    12
  2.2712618368683235E+00 a        13     0     1     1    13
 -9.4357680045359538E-01 a        14     0     1     1    14
 -2.1872087697854292E+00 a        15     0     1     1    15
 -3.8867575986206543E-01 a        16     0     2     1     1
  6.7445822618018114E-01 a        17     0     2     1     2
 -4.3545916501648678E+00 a        18     0     2     1     3
  7.8292604877891581E-01 a        19     0     2     1     4
 -5.8841196404537954E-01 a        20     0     2     1     5
 -3.3910713652121460E+00 a        21     0     2     1     6
 -2.1993860522261119E+00 a        22     0     2     1     7
  3.1560556486069982E+00 a        23     0     2     1     8
  2.6181139842594106E+00 a        24     0     2     1     9
 -1.0617224535603011E+01 a        25     0     2     1    10
  2.1284462473400834E+00 a        26     0     2     1    11
 -7.3095861572798504E-01 a        27     0     2     1    12
 -4.5811798409503295E+00 a        28     0     2     1    13
  6.8444099528428666E+00 a        29     0     2     1    14
  3.1704871131232686E+00 a        30     0     2     1    15
  2.1905256828092159E+00 a        31     0     3     1     1
 -2.1732949182340828E+00 a        32     0     3     1     2
 -7.9291308332835597E-02 a        33     0     3     1     3
 -3.7541595019198457E+00 a        34     0     3     1     4
 -2.4754794783699485E+00 a        35     0     3     1     5
  3.4474497941626037E-01 a        36     0     3     1     6
 -5.5998553860106060E-01 a        37     0     3     1     7
  2.4807448913723045E+00 a        38     0     3     1     8
 -4.9323698264815130E-01 a        39     0     3     1     9
 -3.1192188095424815E+00 a        40     0     3     1    10
  1.9815511474108187E+00 a        41     0     3     1    11
 -2.5354989397869669E+00 a        42     0     3     1    12
 -4.6252595371699341E+00 a        43     0     3     1    13
  8.2111540015571183E-01 a        44     0     3     1    14
 -2.7786018914936439E+00 a        45     0     3     1    15
  6.4645597023955514E-01 a        46     0     4     1     1
 -2.5541304210585880E-01 a        47     0     4     1     2
 -2.1769179341388343E+00 a        48     0     4     1     3
  1.7403687945017949E+00 a        49     0     4     1     4
 -1.1484661236810381E+00 a        50     0     4     1     5
  5.1827566228298716E-01 a        51     0     4     1     6
  1.8037019326711772E+00 a        52     0     4     1     7
 -2.2596756120678467E+00 a        53     0     4     1     8
  2.8636180181698451E-01 a        54     0     4     1     9
 -8.8215020104529784E-01 a        55     0     4     1    10
  2.6095023704654090E+00 a        56     0     4     1    11
