################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.5298427729797886E-02 a       117     0     8     1    12
  1.0652711749591395E+00 a       118     0     8     1    13
 -2.4373718253314644E-01 a       119     0     8     1    14
  4.8378565295890458E-01 a       120     0     8     1    15
 -6.3221562303435966E-02 a       121     0     9     1     1
 -7.3160978043443992E-01 a       122     0     9     1     2
  2.1127776238505596E+00 a       123     0     9     1     3
  1.1841068477530596E-01 a       124     0     9     1     4
  3.5243866775715960E-01 a       125     0     9     1     5
  8.1655592342390892E-02 a       126     0     9     1     6
 -1.1646574943933568E+00 a       127     0     9     1     7
 -3.3572631911848144E-01 a       128     0     9     1     8
  8.2531511802132607E-01 a       129     0     9     1     9
 -3.4484482740617306E-01 a       130     0     9     1    10
  1.0029305723712575E-01 a       131     0     9     1    11
 -2.3225060282029180E+00 a       132     0     9     1    12
 -1.4775807440708039E-01 a       133     0     9     1    13
 -2.3065768897515465E-01 a       134     0     9     1    14
 -1.1929782061619134E+00 a       135     0     9     1    15
  8.7930978967183368E-02 a       136     0    10     1     1
 -1.0073873256069805E-01 a       137     0    10     1     2
  1.7449290978720484E+00 a       138     0    10     1     3
  6.6000063633880690E-01 a       139     0    10     1     4
  6.8757319036892894E-01 a       140     0    10     1     5
 -1.3573546121966984E-01 a       141     0    10     1     6
  7.8060347343052372E-01 a       142     0    10     1     7
  1.9686111339037486E+00 a       143     0    10     1     8
  1.8171316690482162E+00 a       144     0    10     1     9
 -1.4991510014266221E+00 a       145     0    10     1    10
  3.2614232928302248E-02 a       146     0    10     1    11
  2.7158431051122200E-01 a       147     0    10     1    12
  5.3832764784701370E-01 a       148     0    10     1    13
 -1.9845868447019741E+00 a       149     0    10     1    14
 -2.5810843535911392E+00 a       150     0    10     1    15
 -1.7273215716972499E+00 a       151     0    11     1     1
 -7.2726020730376129E-01 a       152     0    11     1     2
 -7.3688758984131064E-01 a       153     0    11     1     3
