################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.7214739329231992E-01 a         1     0     1     1     1
 -1.0971341900590148E+00 a         2     0     1     1     2
 -3.6721103072872652E-01 a         3     0     1     1     3
 -8.4632331181437526E-01 a         4     0     1     1     4
 -5.6017465550855639E-01 a         5     0     1     1     5
 -2.7303329060450028E+00 a         6     0     1     1     6
 -1.0248445209437167E+00 a         7     0     1     1     7
  6.7680953124781795E-01 a         8     0     1     1     8
 -1.0399033431116438E+00 a         9     0     1     1     9
 -9.7577095694386895E-01 a        10     0     1     1    10
  6.9057658193297267E-01 a        11     0     1     1    11
 -5.8535251113779352E-01 a        12     0     1     1    12
  1.7356634579461269E-01 a        13     0     1     1    13
  3.3162025865325900E-01 a        14     0     1     1    14
 -3.5945516063251204E-01 a        15     0     1     1    15
 -9.0100986502779767E-01 a        16     0     2     1     1
  9.2258420944171160E-01 a        17     0     2     1     2
  3.3812100158094625E+00 a        18     0     2     1     3
  5.7225721646646370E+00 a        19     0     2     1     4
 -2.2897175593741239E+00 a        20     0     2     1     5
 -1.1211447718034651E+00 a        21     0     2     1     6
 -2.0800747434193476E+00 a        22     0     2     1     7
  7.1512676637614725E-01 a        23     0     2     1     8
  5.9968665269094568E-01 a        24     0     2     1     9
 -2.1471397149431470E+00 a        25     0     2     1    10
 -5.9989157687463568E-01 a        26     0     2     1    11
 -3.3360962024747693E+00 a        27     0     2     1    12
  9.7669708485578888E-01 a        28     0     2     1    13
 -3.4565983627446810E+00 a        29     0     2     1    14
  3.9044279516266972E-01 a        30     0     2     1    15
  1.1909715887280463E+00 a        31     0     3     1     1
  3.7355727166285924E-01 a        32     0     3     1     2
  6.5477298281036200E-01 a        33     0     3     1     3
  1.4056328664105897E+00 a        34     0     3     1     4
 -2.0575986078638053E-01 a        35     0     3     1     5
  1.4186876452405317E+00 a        36     0     3     1     6
 -1.4074468904278221E+00 a        37     0     3     1     7
 -5.2447847496790068E-01 a        38     0     3     1     8
  9.5703303573555651E-02 a        39     0     3     1     9
 -2.5582477337104859E-01 a        40     0     3     1    10
  4.4343128664939235E-01 a        41     0     3     1    11
 -1.7254784969690575E+00 a        42     0     3     1    12
  4.4784094895334348E-01 a        43     0     3     1    13
 -8.0117477267310069E-02 a        44     0     3     1    14
  1.1554453274000243E+00 a        45     0     3     1    15
 -1.5294602477287007E+00 a        46     0     4     1     1
 -2.5742916733554244E+00 a        47     0     4     1     2
  1.5458156838064649E-01 a        48     0     4     1     3
 -5.9452954579688688E+00 a        49     0     4     1     4
 -2.7660661194663763E+00 a        50     0     4     1     5
  2.3227430818139891E-01 a        51     0     4     1     6
 -1.7970051282704425E+00 a        52     0     4     1     7
 -1.6438069559969122E+00 a        53     0     4     1     8
 -1.0194080118850626E-01 a        54     0     4     1     9
  2.3060236864329671E+00 a        55     0     4     1    10
  9.5051716964623523E-01 a        56     0     4     1    11
 -1.2828815660075958E+00 a        57     0     4     1    12
  7.2466019898576406E-01 a        58     0     4     1    13
 -2.5543527976649911E+00 a        59     0     4     1    14
  7.4974294483987614E-01 a        60     0     4     1    15
  1.1956104829565767E-01 a        61     0     5     1     1
