################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2636629993334678E+00 a        62     0     5     1     2
 -1.2205680266693078E-01 a        63     0     5     1     3
 -3.8889447936698024E-01 a        64     0     5     1     4
  1.4098924241885118E+00 a        65     0     5     1     5
  2.5443597972176870E+00 a        66     0     5     1     6
 -1.8991970913569636E+00 a        67     0     5     1     7
  7.9595683285718855E-01 a        68     0     5     1     8
  1.3247780002834447E-01 a        69     0     5     1     9
  8.5714570242141874E-01 a        70     0     5     1    10
 -9.6588561237918125E-01 a        71     0     5     1    11
 -2.4508189007196995E-01 a        72     0     5     1    12
 -5.9200312462794558E-01 a        73     0     5     1    13
  7.1645751797758717E-01 a        74     0     5     1    14
  1.0557614991279409E+00 a        75     0     5     1    15
  5.8754000976280175E-02 a        76     0     6     1     1
  2.4960620846878196E+00 a        77     0     6     1     2
  1.6052591895366788E+00 a        78     0     6     1     3
  4.4407648969113014E+00 a        79     0     6     1     4
 -3.5708427825491657E-01 a        80     0     6     1     5
 -1.5496380601345772E+00 a        81     0     6     1     6
  4.4548704440417863E-01 a        82     0     6     1     7
 -6.9769772506089178E-01 a        83     0     6     1     8
  8.5071302205746913E-01 a        84     0     6     1     9
 -1.8766016563427870E+00 a        85     0     6     1    10
 -8.5336566619113896E-01 a        86     0     6     1    11
 -8.7924353470969119E-01 a        87     0     6     1    12
  3.5646733191560498E-01 a        88     0     6     1    13
 -1.0818795095111291E+00 a        89     0     6     1    14
 -9.8386263130081908E-01 a        90     0     6     1    15
 -8.2133862269169366E-01 a        91     0     7     1     1
 -7.9892254564407572E-02 a        92     0     7     1     2
  1.3642233530860526E-01 a        93     0     7     1     3
  1.6791503761302016E+00 a        94     0     7     1     4
  4.5523950200173036E-01 a        95     0     7     1     5
 -3.4980430341540431E-01 a        96     0     7     1     6
 -2.1727100127498775E+00 a        97     0     7     1     7
  1.2724743184185403E-01 a        98     0     7     1     8
  3.4234403981488493E-01 a        99     0     7     1     9
 -1.4009297138766581E+00 a       100     0     7     1    10
 -7.4139320311738466E-01 a       101     0     7     1    11
  1.0421435226319711E+00 a       102     0     7     1    12
 -3.2709619824586139E-01 a       103     0     7     1    13
 -7.2804430506465045E-01 a       104     0     7     1    14
  1.4137400364700847E+00 a       105     0     7     1    15
  8.6441872600275127E-01 a       106     0     8     1     1
 -1.6635133057942992E+00 a       107     0     8     1     2
  6.6704582099125831E-01 a       108     0     8     1     3
 -6.1339513811454494E-01 a       109     0     8     1     4
  1.2148333117316845E+00 a       110     0     8     1     5
 -7.9654862997430698E-01 a       111     0     8     1     6
 -2.7498568209862500E+00 a       112     0     8     1     7
  1.7107770244000844E+00 a       113     0     8     1     8
 -1.9600155572198397E-01 a       114     0     8     1     9
 -1.1222884035467100E+00 a       115     0     8     1    10
 -1.4667081712493000E+00 a       116     0     8     1    11
 -2.4607689331245516E-01 a       117     0     8     1    12
  7.0149615958448841E-01 a       118     0     8     1    13
  9.7068379545320660E-01 a       119     0     8     1    14
 -3.6654308859729268E-01 a       120     0     8     1    15
 -1.7797050279990584E-01 a       121     0     9     1     1
  8.9988022549250191E-01 a       122     0     9     1     2
 -1.6189800936607037E+00 a       123     0     9     1     3
  4.1793569135332795E+00 a       124     0     9     1     4
 -4.5516185699219586E-01 a       125     0     9     1     5
 -3.8592683532621153E+00 a       126     0     9     1     6
 -6.7569681899767942E-01 a       127     0     9     1     7
  8.9061234038891557E-01 a       128     0     9     1     8
  2.1034674181120699E-01 a       129     0     9     1     9
 -4.3282185781223514E-01 a       130     0     9     1    10
 -1.0523606918861916E+00 a       131     0     9     1    11
  4.1707409827769992E-01 a       132     0     9     1    12
  5.1218052102933598E-01 a       133     0     9     1    13
  7.8351577458761618E-02 a       134     0     9     1    14
  1.1350279747276675E+00 a       135     0     9     1    15
  6.4794405192748672E-01 a       136     0    10     1     1
  1.6990002104487374E+00 a       137     0    10     1     2
  1.1932048199029159E+00 a       138     0    10     1     3
  5.5462559734528316E+00 a       139     0    10     1     4
 -1.8206960731886792E+00 a       140     0    10     1     5
  3.6556897212397732E-01 a       141     0    10     1     6
  1.7357711412471790E+00 a       142     0    10     1     7
 -1.1451893890834750E+00 a       143     0    10     1     8
 -9.7468241069805994E-01 a       144     0    10     1     9
  1.9259064808011888E+00 a       145     0    10     1    10
 -3.1519445366479643E-01 a       146     0    10     1    11
 -6.6862323947460223E-01 a       147     0    10     1    12
 -5.5510767269915084E-01 a       148     0    10     1    13
 -1.2343425896221902E-01 a       149     0    10     1    14
  5.7054712537262464E-01 a       150     0    10     1    15
  3.4256041077697413E-01 a       151     0    11     1     1
  7.9818739511038350E-01 a       152     0    11     1     2
 -2.0576493554125785E+00 a       153     0    11     1     3
 -1.1431454400811463E+00 a       154     0    11     1     4
 -2.5614246670502698E+00 a       155     0    11     1     5
 -7.5747351408107469E-02 a       156     0    11     1     6
  5.2076050634975579E-01 a       157     0    11     1     7
  1.2138971083819392E+00 a       158     0    11     1     8
  1.9899733709964391E+00 a       159     0    11     1     9
 -2.0242430701586586E-01 a       160     0    11     1    10
  1.2347296144119044E+00 a       161     0    11     1    11
  1.5231490839312636E+00 a       162     0    11     1    12
  1.4922987974998045E-01 a       163     0    11     1    13
 -2.8455995083965702E-01 a       164     0    11     1    14
  1.0163332570160037E+00 a       165     0    11     1    15
 -1.4646580002068892E+00 a       166     0    12     1     1
 -2.3016031448326835E-01 a       167     0    12     1     2
 -7.8147658730489400E-01 a       168     0    12     1     3
 -1.7433525488882817E-01 a       169     0    12     1     4
  1.0757267264939654E+00 a       170     0    12     1     5
  4.9577716322933790E-01 a       171     0    12     1     6
 -1.6964311610583822E+00 a       172     0    12     1     7
 -7.8344897049486850E-01 a       173     0    12     1     8
 -1.5843062800396621E+00 a       174     0    12     1     9
 -1.0407201450121382E+00 a       175     0    12     1    10
  6.2276637799730095E-01 a       176     0    12     1    11
 -1.2347250622183681E+00 a       177     0    12     1    12
  5.5056709153507011E-01 a       178     0    12     1    13
 -1.7875121850697334E-01 a       179     0    12     1    14
 -6.6124583961721639E-01 a       180     0    12     1    15
 -1.4122990257678649E+00 a       181     0    13     1     1
  7.9372980532553405E-01 a       182     0    13     1     2
  4.0038064754074737E-01 a       183     0    13     1     3
  4.9578504694899961E-01 a       184     0    13     1     4
  1.6964150387963748E+00 a       185     0    13     1     5
  2.1218894082572709E-01 a       186     0    13     1     6
  6.0236667029060043E-01 a       187     0    13     1     7
 -5.2042891460045781E-01 a       188     0    13     1     8
  1.1520938323067595E+00 a       189     0    13     1     9
 -4.0742185698327449E-01 a       190     0    13     1    10
  1.2491703120224926E+00 a       191     0    13     1    11
  1.1622420472937776E+00 a       192     0    13     1    12
  7.9900226443886191E-01 a       193     0    13     1    13
 -4.8935725869256452E-01 a       194     0    13     1    14
 -1.2346625173116255E+00 a       195     0    13     1    15
  2.2636220322598346E+00 a       196     0    14     1     1
 -1.4950166655968455E+00 a       197     0    14     1     2
 -5.7163054006074895E-02 a       198     0    14     1     3
 -6.4726170898543767E-02 a       199     0    14     1     4
 -7.9229572506846180E-01 a       200     0    14     1     5
  1.9752854981108234E+00 a       201     0    14     1     6
 -4.5606669939242356E-01 a       202     0    14     1     7
  9.1172846597656465E-01 a       203     0    14     1     8
  8.4448965146546950E-01 a       204     0    14     1     9
 -6.0524705741482698E-01 a       205     0    14     1    10
  1.7690678250821870E+00 a       206     0    14     1    11
 -9.6889609711554370E-01 a       207     0    14     1    12
 -5.1266731482932892E-01 a       208     0    14     1    13
  2.7168635318298051E+00 a       209     0    14     1    14
 -2.1317743528186620E-01 a       210     0    14     1    15
  1.3607032569954525E+00 a       211     0    15     1     1
  1.2954175568150343E+00 a       212     0    15     1     2
 -9.5837755329426969E-02 a       213     0    15     1     3
 -9.5580518676647341E-01 a       214     0    15     1     4
 -2.9378783377447579E+00 a       215     0    15     1     5
 -5.8570421349131740E-01 a       216     0    15     1     6
 -9.3511224656361058E-01 a       217     0    15     1     7
 -1.6855343811633658E-02 a       218     0    15     1     8
 -5.5228594140638987E-01 a       219     0    15     1     9
 -2.7643452438652349E-01 a       220     0    15     1    10
 -8.5481994192251193E-02 a       221     0    15     1    11
 -8.4623487602248593E-01 a       222     0    15     1    12
 -4.9853257518892602E-01 a       223     0    15     1    13
 -1.3320807402806565E+00 a       224     0    15     1    14
 -1.8300360091699053E-01 a       225     0    15     1    15
 -2.3035028499023888E+00 a       226     0    16     1     1
  1.2517462793472489E+00 a       227     0    16     1     2
 -7.3386397705941420E-01 a       228     0    16     1     3
  4.6934309015650766E-01 a       229     0    16     1     4
 -9.6632966955261768E-01 a       230     0    16     1     5
  1.0810401943462694E-01 a       231     0    16     1     6
  1.9366561234981039E+00 a       232     0    16     1     7
 -2.3591757954507178E+00 a       233     0    16     1     8
 -4.5464565558653378E+00 a       234     0    16     1     9
  2.2752775841963082E+00 a       235     0    16     1    10
 -2.2812567963835614E-01 a       236     0    16     1    11
  1.6226900734848708E+00 a       237     0    16     1    12
  1.0106637352755512E+00 a       238     0    16     1    13
 -3.2981853574928928E+00 a       239     0    16     1    14
 -1.7764758464405466E+00 a       240     0    16     1    15
 -1.0774368700589967E+00 a       241     0    17     1     1
  4.6875887957937246E-01 a       242     0    17     1     2
 -3.9733933209016481E-01 a       243     0    17     1     3
 -1.2990404584413298E-01 a       244     0    17     1     4
 -8.1228011329966399E-01 a       245     0    17     1     5
 -3.7389447388095581E-01 a       246     0    17     1     6
  1.5378363417048377E-01 a       247     0    17     1     7
 -6.5819680989774310E-01 a       248     0    17     1     8
 -3.6695240486178704E-01 a       249     0    17     1     9
 -1.1396094884224608E+00 a       250     0    17     1    10
 -5.2023727395351416E-01 a       251     0    17     1    11
 -4.9475990994229391E-01 a       252     0    17     1    12
  1.7474503109912332E-01 a       253     0    17     1    13
 -1.3893537882891311E+00 a       254     0    17     1    14
  4.8179004032331318E-01 a       255     0    17     1    15
  4.0534856844457079E-01 a       256     0    18     1     1
 -7.1036538266865890E-01 a       257     0    18     1     2
 -8.5217995405625413E-02 a       258     0    18     1     3
 -1.4261352012776504E-01 a       259     0    18     1     4
 -3.4168501708647409E-01 a       260     0    18     1     5
  1.0266979848685045E+00 a       261     0    18     1     6
 -3.0290356460593748E-01 a       262     0    18     1     7
  5.0170358403023189E-02 a       263     0    18     1     8
  5.1555997260543121E-02 a       264     0    18     1     9
 -1.0992140728602136E+00 a       265     0    18     1    10
  6.7514920897867703E-02 a       266     0    18     1    11
 -6.4159291934516124E-02 a       267     0    18     1    12
 -1.7851593440645002E-02 a       268     0    18     1    13
  1.2325270428827417E+00 a       269     0    18     1    14
 -1.4257476769170898E+00 a       270     0    18     1    15
  1.7872820610841511E+00 a       271     0    19     1     1
  1.7125801496960593E+00 a       272     0    19     1     2
  2.5439696838692422E-01 a       273     0    19     1     3
 -6.7761149227198736E-01 a       274     0    19     1     4
 -5.6349685192085253E-01 a       275     0    19     1     5
  1.0815319980936229E+00 a       276     0    19     1     6
 -2.1687242483943208E+00 a       277     0    19     1     7
 -2.0365197334842788E+00 a       278     0    19     1     8
  2.2216999101285548E-01 a       279     0    19     1     9
  8.7100234790489295E-01 a       280     0    19     1    10
 -4.6995844728647546E-01 a       281     0    19     1    11
 -3.4447943219421162E-01 a       282     0    19     1    12
  2.5180387011330532E+00 a       283     0    19     1    13
 -1.1163169773036778E-01 a       284     0    19     1    14
 -1.0485937689819860E-01 a       285     0    19     1    15
  9.5735033761790556E-01 a       286     0    20     1     1
 -1.0490498493320410E+00 a       287     0    20     1     2
 -2.9731189876752129E-01 a       288     0    20     1     3
 -7.6298658101801975E-01 a       289     0    20     1     4
  3.3361921880309078E-02 a       290     0    20     1     5
  9.9107623924376664E-01 a       291     0    20     1     6
  2.6669371994162421E+00 a       292     0    20     1     7
  2.3551746970988308E-01 a       293     0    20     1     8
  9.4417592140584983E-01 a       294     0    20     1     9
 -7.0457512224474161E-01 a       295     0    20     1    10
  1.3351045034012898E-01 a       296     0    20     1    11
 -6.0374329350168576E-01 a       297     0    20     1    12
  1.3011621492805538E+00 a       298     0    20     1    13
 -1.8701594966322297E+00 a       299     0    20     1    14
  1.3439302930219881E+00 a       300     0    20     1    15
  1.5623344155423140E+00 a       301     0    21     1     1
 -1.2286162128465563E+00 a       302     0    21     1     2
 -9.7898859912269476E-01 a       303     0    21     1     3
  2.4527406893021548E+00 a       304     0    21     1     4
 -4.7787437678178774E-01 a       305     0    21     1     5
  3.9715812668944479E+00 a       306     0    21     1     6
  6.4763564737033330E-01 a       307     0    21     1     7
 -9.0003791470950223E-01 a       308     0    21     1     8
  6.9262332131167725E-01 a       309     0    21     1     9
 -2.7011208306715190E-01 a       310     0    21     1    10
  4.6658066592068101E-02 a       311     0    21     1    11
 -6.6771826298728201E-02 a       312     0    21     1    12
  8.0955963330156100E-01 a       313     0    21     1    13
  6.4545900537081979E-01 a       314     0    21     1    14
 -1.5149132693282292E+00 a       315     0    21     1    15
  5.5382857013504150E-01 a       316     0    22     1     1
  2.9385119205635490E-01 a       317     0    22     1     2
  1.0407447521186042E+00 a       318     0    22     1     3
 -5.3145971896136635E-01 a       319     0    22     1     4
 -4.0796324159207198E-01 a       320     0    22     1     5
  3.0515227050874533E-01 a       321     0    22     1     6
 -2.7582971264310627E-02 a       322     0    22     1     7
 -9.4407754411719735E-01 a       323     0    22     1     8
 -5.0323605263727167E-01 a       324     0    22     1     9
  2.7989841427520867E-01 a       325     0    22     1    10
 -2.3235343065918959E+00 a       326     0    22     1    11
 -8.1490526082213488E-01 a       327     0    22     1    12
 -1.9371919577893113E-02 a       328     0    22     1    13
  1.1568035951260929E+00 a       329     0    22     1    14
 -1.5977574638277874E+00 a       330     0    22     1    15
 -1.1124979828307184E+00 a       331     0    23     1     1
 -6.9629248485982687E-01 a       332     0    23     1     2
  5.2598740501113039E-01 a       333     0    23     1     3
  1.3333065443662966E+00 a       334     0    23     1     4
 -7.2527370398133462E-01 a       335     0    23     1     5
  1.5602351986819123E+00 a       336     0    23     1     6
  1.0489853806487404E-01 a       337     0    23     1     7
  8.4134071479830463E-01 a       338     0    23     1     8
 -8.0745824578187442E-01 a       339     0    23     1     9
 -7.6942907302106867E-01 a       340     0    23     1    10
  1.3141608756790818E-01 a       341     0    23     1    11
 -1.8519767459986147E-01 a       342     0    23     1    12
 -1.8020275030105488E+00 a       343     0    23     1    13
  5.1024014503626244E-02 a       344     0    23     1    14
  1.2388087672935373E+00 a       345     0    23     1    15
 -2.9132166718535524E-01 a       346     0    24     1     1
  1.4058617263127376E-01 a       347     0    24     1     2
 -1.1919214929355684E+00 a       348     0    24     1     3
 -4.8202770347720847E+00 a       349     0    24     1     4
  2.2080249747613880E+00 a       350     0    24     1     5
  6.7176057677530543E-01 a       351     0    24     1     6
 -1.9007936803070398E+00 a       352     0    24     1     7
  5.9274499731316999E-01 a       353     0    24     1     8
  1.6574068591433975E+00 a       354     0    24     1     9
  9.8480994039388647E-02 a       355     0    24     1    10
 -7.1391498442938711E-02 a       356     0    24     1    11
  1.0643687737803389E+00 a       357     0    24     1    12
 -7.3642188664704411E-01 a       358     0    24     1    13
 -7.3709406900464336E-01 a       359     0    24     1    14
 -2.0949078622379660E+00 a       360     0    24     1    15
 -1.3851735915194003E+00 a       361     0    25     1     1
  4.7433937186535069E-01 a       362     0    25     1     2
  7.4578418106913569E-01 a       363     0    25     1     3
 -3.8468199103077444E-01 a       364     0    25     1     4
  3.0812489223455546E+00 a       365     0    25     1     5
  4.0948886545840013E-01 a       366     0    25     1     6
  1.7698151704243310E+00 a       367     0    25     1     7
  2.0218367932624171E-01 a       368     0    25     1     8
 -1.4367369316178022E+00 a       369     0    25     1     9
  1.5834865520738857E+00 a       370     0    25     1    10
  4.5681947276676882E-01 a       371     0    25     1    11
  7.5936605494876297E-01 a       372     0    25     1    12
  2.2519779075962454E-01 a       373     0    25     1    13
  4.8133038996915256E-01 a       374     0    25     1    14
 -1.4481331157546662E+00 a       375     0    25     1    15
 -1.0809787795687644E+00 a       376     0    26     1     1
 -6.8473422130862271E-01 a       377     0    26     1     2
  1.5591605008497150E-01 a       378     0    26     1     3
  2.0105781547070269E+00 a       379     0    26     1     4
  6.1084485423709867E-01 a       380     0    26     1     5
  1.9492055691629463E-02 a       381     0    26     1     6
  1.9476456400406299E+00 a       382     0    26     1     7
 -2.0551718963894920E+00 a       383     0    26     1     8
 -2.1755597050270055E+00 a       384     0    26     1     9
  2.7695019690889133E-01 a       385     0    26     1    10
  1.0438113796632638E+00 a       386     0    26     1    11
 -2.8178404918598199E-01 a       387     0    26     1    12
  1.0879032412283312E+00 a       388     0    26     1    13
  1.8113486516818924E+00 a       389     0    26     1    14
  1.5023108810147341E+00 a       390     0    26     1    15
  1.9178412863113030E+00 a       391     0    27     1     1
 -1.0325440793460237E+00 a       392     0    27     1     2
  1.3372468104813500E+00 a       393     0    27     1     3
  1.0005644464927157E+00 a       394     0    27     1     4
  3.8572772674729283E-01 a       395     0    27     1     5
  8.0070155666708054E-01 a       396     0    27     1     6
  1.5834278400194377E+00 a       397     0    27     1     7
  1.5693101423130063E+00 a       398     0    27     1     8
  2.0505418243037821E-01 a       399     0    27     1     9
 -7.6492086566725848E-01 a       400     0    27     1    10
 -2.2560897252704510E+00 a       401     0    27     1    11
 -8.1556302218289511E-01 a       402     0    27     1    12
  8.2585960874425357E-01 a       403     0    27     1    13
  8.6969272377214343E-02 a       404     0    27     1    14
  1.0280538927821528E+00 a       405     0    27     1    15
 -1.1169398119788709E+00 a       406     0    28     1     1
  9.6487732258259551E-01 a       407     0    28     1     2
 -3.4004531285994510E-01 a       408     0    28     1     3
  1.3462391890656542E+00 a       409     0    28     1     4
  1.4254845449488460E+00 a       410     0    28     1     5
  1.9860906555254245E+00 a       411     0    28     1     6
  2.4561702806103112E+00 a       412     0    28     1     7
  2.1386380170730455E+00 a       413     0    28     1     8
 -7.1753070822225440E-01 a       414     0    28     1     9
  2.2967700550540404E+00 a       415     0    28     1    10
 -1.9522067631157867E+00 a       416     0    28     1    11
  1.9080575971180029E+00 a       417     0    28     1    12
 -6.5844553376354975E-01 a       418     0    28     1    13
 -8.3652885959223555E-01 a       419     0    28     1    14
 -4.8451492859992201E-01 a       420     0    28     1    15
  9.8475574361266627E-01 a       421     0    29     1     1
 -1.4875002666740853E+00 a       422     0    29     1     2
  5.5521631528333582E-01 a       423     0    29     1     3
 -1.0409825212259283E-01 a       424     0    29     1     4
  1.1772942600689876E-01 a       425     0    29     1     5
 -2.6027449248740625E-01 a       426     0    29     1     6
 -1.1356999073404148E+00 a       427     0    29     1     7
 -2.7022102718146948E+00 a       428     0    29     1     8
 -9.1601235691486915E-01 a       429     0    29     1     9
 -4.5652608557155916E-01 a       430     0    29     1    10
 -1.1102716705703259E+00 a       431     0    29     1    11
  9.2492121868545873E-01 a       432     0    29     1    12
 -5.4508590585782779E-01 a       433     0    29     1    13
  3.9689099715366233E-01 a       434     0    29     1    14
  5.4134875532220972E-01 a       435     0    29     1    15
 -1.3297584452706448E+00 a       436     0    30     1     1
 -2.3835696542444962E-01 a       437     0    30     1     2
  1.7734049580058795E+00 a       438     0    30     1     3
  6.7958328906552756E-01 a       439     0    30     1     4
 -1.9263248638354136E-01 a       440     0    30     1     5
  2.1213908611778396E+00 a       441     0    30     1     6
 -4.8860449776103204E-01 a       442     0    30     1     7
 -1.5230708613349894E-01 a       443     0    30     1     8
  3.3459736867935852E-01 a       444     0    30     1     9
  9.8965952451039518E-01 a       445     0    30     1    10
 -1.2356865661842515E+00 a       446     0    30     1    11
 -1.8173195213228288E+00 a       447     0    30     1    12
  8.0114713081975053E-01 a       448     0    30     1    13
  5.9344797434453178E-01 a       449     0    30     1    14
  4.7476308136620349E-01 a       450     0    30     1    15
 -1.2440670075615216E-02 a       451     0    31     1     1
  1.2275553105035657E+00 a       452     0    31     1     2
 -3.6584182836219614E-01 a       453     0    31     1     3
 -1.1843861971800333E-01 a       454     0    31     1     4
 -8.3443831046285810E-01 a       455     0    31     1     5
  2.0827182727868028E+00 a       456     0    31     1     6
 -8.6569578002301673E-01 a       457     0    31     1     7
 -1.7542648549841415E+00 a       458     0    31     1     8
  2.0303144660328104E-01 a       459     0    31     1     9
 -3.0314187544276605E-01 a       460     0    31     1    10
 -1.0823981211893874E+00 a       461     0    31     1    11
 -1.9856457038283406E+00 a       462     0    31     1    12
  1.0908856376822107E+00 a       463     0    31     1    13
 -2.5968591872794722E-01 a       464     0    31     1    14
 -9.5466202309992898E-01 a       465     0    31     1    15
  1.3255569216130794E+00 a       466     0    32     1     1
 -3.8037466355574590E-01 a       467     0    32     1     2
 -2.6383887899772902E+00 a       468     0    32     1     3
 -1.7253827722568758E+00 a       469     0    32     1     4
 -4.9806853006679364E-01 a       470     0    32     1     5
  3.4407484515420279E+00 a       471     0    32     1     6
  2.2775285368124569E+00 a       472     0    32     1     7
 -1.0579408395596415E+00 a       473     0    32     1     8
 -1.6519851769294522E-01 a       474     0    32     1     9
  6.2693016731157658E-01 a       475     0    32     1    10
  4.3148697984743634E-01 a       476     0    32     1    11
 -2.5506202771734438E-01 a       477     0    32     1    12
 -6.1957868062759947E-01 a       478     0    32     1    13
 -1.2479088436100130E+00 a       479     0    32     1    14
  2.1349940026598166E+00 a       480     0    32     1    15
 -6.2047888714956279E-01 a       481     0    33     1     1
 -7.9870109582860005E-01 a       482     0    33     1     2
 -7.0120284919618725E-01 a       483     0    33     1     3
  1.0152904179048006E+00 a       484     0    33     1     4
  1.7418732314105416E+00 a       485     0    33     1     5
  1.1039338720351597E+00 a       486     0    33     1     6
 -5.0301389260016849E-01 a       487     0    33     1     7
  2.3280651859511672E-01 a       488     0    33     1     8
  1.9110208255454042E+00 a       489     0    33     1     9
  6.2826484310021746E-01 a       490     0    33     1    10
 -3.9072219683018550E-02 a       491     0    33     1    11
 -3.0942424481113656E-01 a       492     0    33     1    12
  1.0121613291312277E+00 a       493     0    33     1    13
  2.0848305520506524E-01 a       494     0    33     1    14
 -8.2569193172576738E-01 a       495     0    33     1    15
 -9.8594002935329006E-01 a       496     0    34     1     1
  5.0463778270033322E-01 a       497     0    34     1     2
  8.0104792507642819E-01 a       498     0    34     1     3
 -8.8502690648334881E-02 a       499     0    34     1     4
  6.0738146326623665E-02 a       500     0    34     1     5
  1.2747864860824805E+00 a       501     0    34     1     6
  6.4741775793534118E-01 a       502     0    34     1     7
  6.5725472579011057E-01 a       503     0    34     1     8
  3.0298847911618537E-01 a       504     0    34     1     9
  8.4258771989147341E-01 a       505     0    34     1    10
 -1.6427638922283514E+00 a       506     0    34     1    11
 -1.4759719339749877E+00 a       507     0    34     1    12
  1.0181467122290673E+00 a       508     0    34     1    13
  1.3689892441467064E+00 a       509     0    34     1    14
 -7.0537850227858367E-01 a       510     0    34     1    15
 -1.1688524783374279E+00 a       511     0    35     1     1
 -7.2663511265441194E-01 a       512     0    35     1     2
 -2.8177182200930517E-01 a       513     0    35     1     3
 -4.8916838890195280E-01 a       514     0    35     1     4
 -3.4902594984423807E-01 a       515     0    35     1     5
  1.0089785952035775E+00 a       516     0    35     1     6
 -1.9368845740175070E-01 a       517     0    35     1     7
  8.1244711617486212E-02 a       518     0    35     1     8
 -4.0312132474491308E-01 a       519     0    35     1     9
 -8.4040379326656789E-01 a       520     0    35     1    10
 -3.0802343266796262E-01 a       521     0    35     1    11
 -3.3123063609975217E-01 a       522     0    35     1    12
 -6.2766620483208180E-01 a       523     0    35     1    13
  4.4520327459624986E-01 a       524     0    35     1    14
  9.8672359972458401E-01 a       525     0    35     1    15
 -2.8570782715851486E+00 a       526     0    36     1     1
 -1.0732768286195284E+00 a       527     0    36     1     2
 -1.2506033629830589E+00 a       528     0    36     1     3
 -6.0490235458761115E+00 a       529     0    36     1     4
