################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.3894363355809431E+00 a         1     0     1     1     1
  1.0252716204092014E+00 a         2     0     1     1     2
 -2.0668236583709172E+00 a         3     0     1     1     3
 -2.0955972003804266E+00 a         4     0     1     1     4
  2.3049867372564594E+00 a         5     0     1     1     5
 -2.8840577760464092E+00 a         6     0     1     1     6
  3.4381087056701025E+00 a         7     0     1     1     7
  1.0544336585397787E+00 a         8     0     1     1     8
  1.0125736976068058E+00 a         9     0     1     1     9
  2.0268708444707269E+00 a        10     0     1     1    10
 -1.5326896537136170E+00 a        11     0     1     1    11
 -1.2308800700460982E+00 a        12     0     1     1    12
  2.7531952098178318E+00 a        13     0     1     1    13
  5.7996944145825802E-01 a        14     0     1     1    14
  7.7486428399500706E-01 a        15     0     1     1    15
  2.4785134903025048E+00 a        16     0     2     1     1
  4.2474715772283450E-01 a        17     0     2     1     2
  2.0064060771051477E+00 a        18     0     2     1     3
  1.4332117125089536E+00 a        19     0     2     1     4
 -2.6658092180761854E+00 a        20     0     2     1     5
  1.1380654907827257E+00 a        21     0     2     1     6
  1.5895926923554109E+00 a        22     0     2     1     7
  1.6167479905240083E+00 a        23     0     2     1     8
 -1.0273989873869471E+00 a        24     0     2     1     9
 -4.0406720538950108E-01 a        25     0     2     1    10
  4.0613474459623189E-01 a        26     0     2     1    11
  3.5430431329896583E+00 a        27     0     2     1    12
  2.3605992516918142E+00 a        28     0     2     1    13
 -8.5176881029125040E-01 a        29     0     2     1    14
 -2.1272422841560421E+00 a        30     0     2     1    15
  2.3153191079262031E-02 a        31     0     3     1     1
 -8.2780462768755370E-01 a        32     0     3     1     2
 -6.2879537992832923E-01 a        33     0     3     1     3
  1.1479535632921858E+00 a        34     0     3     1     4
 -6.4037823777411562E-01 a        35     0     3     1     5
  4.1867462659367277E-01 a        36     0     3     1     6
 -5.5950755161022192E-01 a        37     0     3     1     7
 -1.1407140069518482E+00 a        38     0     3     1     8
 -7.2649785304371006E-01 a        39     0     3     1     9
  1.4750440431242759E+00 a        40     0     3     1    10
 -6.0246245593468506E-01 a        41     0     3     1    11
  1.0392814583060404E+00 a        42     0     3     1    12
 -7.8943141818511731E-01 a        43     0     3     1    13
 -8.3413739491265693E-01 a        44     0     3     1    14
 -1.1467870752468106E+00 a        45     0     3     1    15
 -5.6229982936445175E+00 a        46     0     4     1     1
 -1.7289506461122284E+00 a        47     0     4     1     2
  2.8171015666079100E+00 a        48     0     4     1     3
  7.7599760140800766E-01 a        49     0     4     1     4
 -1.7011014216062392E+00 a        50     0     4     1     5
  2.4381339590847220E+00 a        51     0     4     1     6
  4.0820379112234750E-01 a        52     0     4     1     7
 -1.5325059617621066E+00 a        53     0     4     1     8
  4.6025060547057990E+00 a        54     0     4     1     9
 -1.2626444126766467E-01 a        55     0     4     1    10
 -9.2355030476360978E-01 a        56     0     4     1    11
  7.0390111671716127E-01 a        57     0     4     1    12
 -2.3428986526765816E+00 a        58     0     4     1    13
  1.2557610048548737E+00 a        59     0     4     1    14
  1.0904772801417983E-01 a        60     0     4     1    15
  1.6477997703227770E-01 a        61     0     5     1     1
 -8.1743943591997170E-01 a        62     0     5     1     2
  1.0033186131870144E+00 a        63     0     5     1     3
  1.4504037211535719E+00 a        64     0     5     1     4
 -3.6789057141670922E-01 a        65     0     5     1     5
  1.4036419642342222E+00 a        66     0     5     1     6
 -9.2788490195184359E-01 a        67     0     5     1     7
 -9.8039012380375667E-01 a        68     0     5     1     8
 -6.3424176030579704E-02 a        69     0     5     1     9
  1.0453506020498711E+00 a        70     0     5     1    10
  1.6818622541433237E-01 a        71     0     5     1    11
 -1.3901465508617397E+00 a        72     0     5     1    12
  1.1785476320425059E-01 a        73     0     5     1    13
 -2.1018519117915684E+00 a        74     0     5     1    14
 -1.4042238959329385E+00 a        75     0     5     1    15
  3.1947808068315591E+00 a        76     0     6     1     1
 -3.6803439937157978E-01 a        77     0     6     1     2
  1.2643267899119210E+00 a        78     0     6     1     3
  7.3342518472044205E-01 a        79     0     6     1     4
 -1.7430148247097925E+00 a        80     0     6     1     5
 -5.6040946000270431E-01 a        81     0     6     1     6
 -1.1047831889183886E+00 a        82     0     6     1     7
  1.3561859026586971E+00 a        83     0     6     1     8
  3.5617401623187717E-01 a        84     0     6     1     9
  3.2727482065116520E-01 a        85     0     6     1    10
  3.5809785017651001E+00 a        86     0     6     1    11
  3.8008819881996569E-01 a        87     0     6     1    12
 -6.3156318866382610E-01 a        88     0     6     1    13
  4.2087646117002930E-01 a        89     0     6     1    14
  1.1366750007325783E+00 a        90     0     6     1    15
 -1.9205129437599622E-01 a        91     0     7     1     1
  5.3034729144949089E-01 a        92     0     7     1     2
  1.4512737120228110E+00 a        93     0     7     1     3
  3.8003251829201112E-01 a        94     0     7     1     4
  2.3593465488297474E-01 a        95     0     7     1     5
  1.1073919946529531E+00 a        96     0     7     1     6
 -1.5114580343949775E+00 a        97     0     7     1     7
 -8.0352762255518440E-01 a        98     0     7     1     8
 -7.0698848544874904E-01 a        99     0     7     1     9
 -5.8440355271579936E-01 a       100     0     7     1    10
