################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.3172637491277639E+00 a         1     0     1     1     1
  1.6708821345787428E-01 a         2     0     1     1     2
  7.1580234466886528E-01 a         3     0     1     1     3
 -2.7330492935691302E+00 a         4     0     1     1     4
  1.7980424552289795E+00 a         5     0     1     1     5
  6.4761428163138446E-01 a         6     0     1     1     6
  1.3772932159880220E+00 a         7     0     1     1     7
  1.9405196355861334E+00 a         8     0     1     1     8
  5.4850618311544723E+00 a         9     0     1     1     9
 -2.6732207659460899E-01 a        10     0     1     1    10
  7.1750328546041375E-01 a        11     0     1     1    11
  7.8190866645601309E-01 a        12     0     1     1    12
  1.7727617895091083E+00 a        13     0     1     1    13
  3.4394303228680680E+00 a        14     0     1     1    14
 -2.7908832240192702E+00 a        15     0     1     1    15
 -2.6460060061788946E+00 a        16     0     2     1     1
  1.4003771968454779E+00 a        17     0     2     1     2
 -4.4186986054674593E-01 a        18     0     2     1     3
 -4.4166773426360111E+00 a        19     0     2     1     4
 -9.3254693790763254E-01 a        20     0     2     1     5
  2.2047338819594660E+00 a        21     0     2     1     6
 -4.6781006096443338E+00 a        22     0     2     1     7
 -1.5747504324601134E+00 a        23     0     2     1     8
 -3.4121280333665305E+00 a        24     0     2     1     9
 -4.2698700923245809E+00 a        25     0     2     1    10
  4.7400284725369328E+00 a        26     0     2     1    11
  2.9863684170779337E-02 a        27     0     2     1    12
 -4.8156635677993469E+00 a        28     0     2     1    13
 -9.7598211539664226E-01 a        29     0     2     1    14
  4.5047252802862046E+00 a        30     0     2     1    15
  5.2905781396623897E-01 a        31     0     3     1     1
 -5.5538665493979011E-01 a        32     0     3     1     2
  5.4253140782627196E-01 a        33     0     3     1     3
 -5.0593965798267337E-01 a        34     0     3     1     4
 -8.2212780784505579E-01 a        35     0     3     1     5
 -1.5059335080597573E+00 a        36     0     3     1     6
  2.2346791623547686E+00 a        37     0     3     1     7
 -4.5677877439973691E-01 a        38     0     3     1     8
 -9.9669383421330471E-01 a        39     0     3     1     9
 -3.0940619296809664E+00 a        40     0     3     1    10
  4.0652309309880383E+00 a        41     0     3     1    11
  3.4298382196047923E+00 a        42     0     3     1    12
  1.4302638516495467E+00 a        43     0     3     1    13
  1.5982939844030641E+00 a        44     0     3     1    14
 -1.8330735934291875E-01 a        45     0     3     1    15
  1.4653398096964836E+00 a        46     0     4     1     1
  1.0659801900688870E-01 a        47     0     4     1     2
 -2.1587745080293717E+00 a        48     0     4     1     3
 -6.2991393169110177E-02 a        49     0     4     1     4
 -4.5173877161748599E-01 a        50     0     4     1     5
 -8.3012233196935237E-01 a        51     0     4     1     6
 -1.1074643159384863E+00 a        52     0     4     1     7
  1.0251937870714376E+00 a        53     0     4     1     8
